ts,track_id,side,x,y,conf,source
1780885442.732,2,R,10.5,507.4,0.200,predicted
1780885442.781,1,L,645.5,418.4,0.100,predicted
1780885442.781,1,R,403.7,566.3,0.100,predicted
1780885442.823,1,L,645.5,418.4,0.100,predicted
1780885442.823,1,R,403.3,566.2,0.100,predicted
1780885442.857,1,L,645.5,418.4,0.100,predicted
1780885442.857,1,R,403.0,566.2,0.100,predicted
1780885442.857,2,L,22.9,509.7,0.150,predicted
1780885442.857,2,R,10.5,507.4,0.150,predicted
1780885442.892,1,L,645.5,418.4,0.100,predicted
1780885442.892,1,R,402.8,566.2,0.100,predicted
1780885442.893,2,L,22.9,509.7,0.100,predicted
1780885442.893,2,R,10.5,507.4,0.100,predicted
1780885443.630,1,L,645.5,418.4,0.100,predicted
1780885443.630,1,R,401.8,566.1,0.100,predicted
1780885443.663,1,L,645.5,418.4,0.100,predicted
1780885443.663,1,R,401.7,566.1,0.100,predicted
1780885443.700,1,L,645.5,418.4,0.100,predicted
1780885443.700,1,R,401.6,566.1,0.100,predicted
1780885443.743,1,L,645.5,418.4,0.100,predicted
1780885443.744,1,R,401.5,566.1,0.100,predicted
1780885443.788,1,L,645.5,418.4,0.100,predicted
1780885443.788,1,R,401.4,566.1,0.100,predicted
1780885443.819,1,L,645.5,418.4,0.100,predicted
1780885443.819,1,R,401.3,566.1,0.100,predicted
1780885443.851,1,L,645.5,418.4,0.100,predicted
1780885443.851,1,R,401.3,566.1,0.100,predicted
1780885443.885,1,L,645.5,418.4,0.100,predicted
1780885443.885,1,R,401.3,566.1,0.100,predicted
1780885443.919,1,L,645.5,418.4,0.100,predicted
1780885443.919,1,R,401.2,566.1,0.100,predicted
1780885443.951,1,L,645.5,418.4,0.100,predicted
1780885443.951,1,R,401.2,566.1,0.100,predicted
1780885443.984,1,L,645.5,418.4,0.100,predicted
1780885443.984,1,R,401.2,566.1,0.100,predicted
1780885444.028,1,L,645.5,418.4,0.100,predicted
1780885444.028,1,R,401.2,566.1,0.100,predicted
1780885444.059,1,L,645.5,418.4,0.100,predicted
1780885444.059,1,R,401.2,566.1,0.100,predicted
1780885444.094,1,L,645.5,418.4,0.100,predicted
1780885444.094,1,R,401.2,566.1,0.100,predicted
1780885444.128,1,L,645.5,418.4,0.100,predicted
1780885444.128,1,R,401.1,566.1,0.100,predicted
1780885444.162,1,L,645.5,418.4,0.100,predicted
1780885444.162,1,R,401.1,566.1,0.100,predicted
1780885444.195,1,L,645.5,418.4,0.100,predicted
1780885444.195,1,R,401.1,566.1,0.100,predicted
1780885444.231,1,L,645.5,418.4,0.100,predicted
1780885444.231,1,R,401.1,566.1,0.100,predicted
