ts,pid,side,x,y,conf,source
1780661703.881,0,R,504.7,461.2,0.990,direct
1780661703.918,0,L,576.0,428.2,0.986,direct
1780661703.918,0,R,504.7,461.4,0.990,direct
1780661703.971,0,L,576.1,428.6,0.987,direct
1780661703.971,0,R,505.0,461.9,0.991,direct
1780661704.008,0,L,576.0,428.6,0.987,direct
1780661704.008,0,R,505.0,461.7,0.991,direct
1780661704.066,0,L,576.3,428.5,0.987,direct
1780661704.066,0,R,505.1,461.6,0.991,direct
1780661704.110,0,L,576.4,428.5,0.987,direct
1780661704.110,0,R,505.1,461.6,0.991,direct
1780661704.143,0,L,576.6,428.3,0.988,direct
1780661704.144,0,R,507.9,468.1,0.993,direct
1780661704.179,0,L,576.8,428.2,0.988,direct
1780661704.179,0,R,508.0,468.3,0.993,direct
1780661704.217,0,L,576.7,428.1,0.987,direct
1780661704.217,0,R,504.7,462.2,0.991,direct
1780661704.264,0,L,576.7,428.0,0.987,direct
1780661704.264,0,R,504.6,462.1,0.991,direct
1780661704.303,0,L,576.8,428.3,0.987,direct
1780661704.303,0,R,505.1,461.2,0.991,direct
1780661704.344,0,L,577.0,428.5,0.987,direct
1780661704.344,0,R,505.3,461.0,0.991,direct
1780661704.382,0,L,576.7,428.4,0.987,direct
1780661704.382,0,R,505.2,460.6,0.991,direct
1780661704.425,0,L,576.5,428.3,0.987,direct
1780661704.425,0,R,505.2,460.5,0.991,direct
1780661704.467,0,L,576.3,428.4,0.986,direct
1780661704.467,0,R,504.7,460.8,0.990,direct
1780661704.501,0,L,576.5,428.9,0.987,direct
1780661704.501,0,R,504.9,461.0,0.991,direct
1780661704.564,0,L,576.6,429.0,0.987,direct
1780661704.564,0,R,504.7,461.3,0.991,direct
1780661704.599,0,L,576.7,429.0,0.987,direct
1780661704.599,0,R,504.6,461.4,0.991,direct
1780661704.636,0,L,576.9,428.5,0.990,direct
1780661704.636,0,R,507.1,466.7,0.993,direct
1780661704.671,0,L,577.0,428.2,0.990,direct
1780661704.671,0,R,507.2,466.9,0.993,direct
1780661704.719,0,L,576.9,428.1,0.987,direct
1780661704.719,0,R,505.3,461.9,0.991,direct
1780661704.758,0,L,576.8,428.0,0.987,direct
1780661704.758,0,R,505.2,461.7,0.991,direct
1780661704.792,0,L,576.8,428.4,0.986,direct
1780661704.792,0,R,504.6,462.2,0.991,direct
1780661704.827,0,L,576.9,428.8,0.986,direct
1780661704.827,0,R,504.5,462.3,0.991,direct
1780661704.859,0,L,576.4,428.5,0.986,direct
1780661704.859,0,R,504.5,461.6,0.991,direct
1780661704.900,0,L,576.1,428.3,0.986,direct
1780661704.900,0,R,504.6,461.3,0.991,direct
1780661704.943,0,L,576.0,428.2,0.986,direct
1780661704.943,0,R,504.4,461.4,0.990,direct
1780661704.990,0,L,576.0,428.2,0.986,direct
1780661704.990,0,R,504.3,461.6,0.990,direct
1780661705.034,0,L,576.0,428.5,0.987,direct
1780661705.034,0,R,504.1,461.8,0.991,direct
1780661705.079,0,L,576.0,428.8,0.987,direct
1780661705.079,0,R,504.0,462.0,0.991,direct
1780661705.113,0,L,575.7,428.8,0.987,direct
1780661705.113,0,R,503.9,461.7,0.991,direct
1780661705.150,0,L,575.5,428.9,0.987,direct
1780661705.150,0,R,503.8,461.5,0.991,direct
1780661705.190,0,L,575.5,428.8,0.987,direct
1780661705.190,0,R,504.1,461.7,0.991,direct
1780661705.233,0,L,575.2,428.3,0.985,direct
1780661705.233,0,R,504.0,461.7,0.990,direct
1780661705.285,0,L,574.9,428.0,0.985,direct
1780661705.285,0,R,503.8,462.0,0.990,direct
1780661705.333,0,L,574.6,427.8,0.985,direct
1780661705.334,0,R,503.7,462.1,0.990,direct
1780661705.369,0,L,575.3,428.0,0.986,direct
1780661705.369,0,R,503.6,461.9,0.990,direct
1780661705.408,0,L,575.8,428.2,0.986,direct
1780661705.408,0,R,503.5,461.7,0.990,direct
1780661705.458,0,L,575.9,428.2,0.986,direct
1780661705.458,0,R,503.7,461.7,0.990,direct
1780661705.497,0,L,576.0,428.2,0.986,direct
1780661705.497,0,R,503.9,461.6,0.990,direct
1780661705.536,0,L,576.2,428.1,0.986,direct
1780661705.536,0,R,503.9,461.7,0.991,direct
1780661705.579,0,L,576.3,428.1,0.986,direct
1780661705.579,0,R,503.9,461.8,0.991,direct
1780661705.615,0,L,576.1,428.2,0.985,direct
1780661705.615,0,R,503.8,461.9,0.990,direct
1780661705.649,0,L,575.9,428.3,0.985,direct
1780661705.649,0,R,503.7,462.0,0.990,direct
1780661705.686,0,L,576.0,428.3,0.986,direct
1780661705.686,0,R,504.0,461.5,0.991,direct
1780661705.723,0,L,576.1,428.1,0.986,direct
1780661705.723,0,R,504.0,461.4,0.990,direct
1780661705.758,0,L,576.0,428.3,0.985,direct
1780661705.758,0,R,503.9,461.6,0.989,direct
1780661705.794,0,L,576.0,428.3,0.985,direct
1780661705.794,0,R,503.9,461.8,0.989,direct
1780661705.835,0,L,576.2,428.3,0.986,direct
1780661705.835,0,R,504.0,461.7,0.990,direct
1780661705.883,0,L,576.5,428.3,0.986,direct
